ReliefAlgorithm
Partición 1 - 1,0.894,0.865,0.010,0.909,0.857,0.030,0.954,0.944,0.029
Partición 1 - 2,0.875,0.875,0.012,0.865,0.861,0.034,0.933,0.965,0.032
Partición 2 - 1,0.865,0.856,0.012,0.857,0.839,0.034,0.972,0.965,0.032
Partición 2 - 2,0.846,0.817,0.012,0.878,0.852,0.033,0.905,0.968,0.031
Partición 3 - 1,0.875,0.865,0.011,0.865,0.874,0.033,0.944,0.961,0.031
Partición 3 - 2,0.817,0.817,0.012,0.887,0.839,0.034,0.951,0.961,0.031
Partición 4 - 1,0.894,0.808,0.012,0.848,0.826,0.034,0.954,0.951,0.031
Partición 4 - 2,0.837,0.846,0.012,0.861,0.848,0.034,0.933,0.958,0.031
Partición 5 - 1,0.875,0.837,0.012,0.904,0.852,0.033,0.965,0.940,0.033
Partición 5 - 2,0.827,0.837,0.012,0.852,0.878,0.034,0.951,0.954,0.031
Media,0.861,0.842,0.011,0.873,0.853,0.033,0.946,0.957,0.031

0.883891493458

ACEGeneticAlgorithm
Partición 1 - 1,0.856,0.817,65.633,0.913,0.796,221.257,0.968,0.961,214.567
Partición 1 - 2,0.904,0.817,65.405,0.891,0.852,221.164,0.972,0.944,212.982
Partición 2 - 1,0.875,0.894,65.374,0.943,0.857,220.812,0.954,0.951,214.419
Partición 2 - 2,0.865,0.865,65.422,0.896,0.852,220.605,0.996,0.958,213.248
Partición 3 - 1,0.846,0.865,65.393,0.909,0.830,220.607,0.972,0.968,215.270
Partición 3 - 2,0.904,0.808,65.433,0.917,0.852,220.602,0.972,0.926,213.951
Partición 4 - 1,0.913,0.856,65.370,0.935,0.822,220.625,0.947,0.979,215.002
Partición 4 - 2,0.923,0.779,65.433,0.887,0.813,221.089,0.986,0.961,213.122
Partición 5 - 1,0.885,0.817,65.850,0.930,0.830,221.232,0.982,0.937,214.446
Partición 5 - 2,0.942,0.808,65.689,0.900,0.830,221.313,0.972,0.944,213.167
Media,0.891,0.833,65.500,0.912,0.833,220.931,0.972,0.953,214.017

0.873027122228

BLXSGeneticAlgorithm
Partición 1 - 1,0.923,0.788,90.079,0.930,0.774,245.195,0.965,0.961,264.522
Partición 1 - 2,0.923,0.827,90.273,0.909,0.883,245.349,0.979,0.951,262.750
Partición 2 - 1,0.942,0.731,90.019,0.943,0.900,245.505,0.979,0.951,263.168
Partición 2 - 2,0.942,0.808,90.095,0.917,0.843,245.888,0.982,0.951,261.896
Partición 3 - 1,0.933,0.875,89.930,0.917,0.857,246.028,0.979,0.958,263.215
Partición 3 - 2,0.933,0.788,90.157,0.952,0.830,245.117,0.986,0.947,262.014
Partición 4 - 1,0.894,0.798,89.727,0.935,0.826,245.092,0.975,0.954,263.281
Partición 4 - 2,0.923,0.827,90.065,0.926,0.813,245.148,0.979,0.972,262.009
Partición 5 - 1,0.904,0.885,89.967,0.961,0.874,245.224,0.979,0.951,263.349
Partición 5 - 2,0.942,0.808,90.166,0.896,0.852,245.961,0.968,0.968,262.002
Media,0.926,0.813,90.048,0.929,0.845,245.451,0.977,0.956,262.821

0.871697028973

ACSGeneticAlgorithm
Partición 1 - 1,0.894,0.865,88.396,0.909,0.839,243.642,0.968,0.958,262.228
Partición 1 - 2,0.894,0.846,88.449,0.900,0.830,243.938,0.975,0.944,260.682
Partición 2 - 1,0.923,0.769,88.459,0.896,0.822,243.857,0.979,0.940,262.328
Partición 2 - 2,0.885,0.817,88.361,0.913,0.783,243.671,0.968,0.958,260.704
Partición 3 - 1,0.885,0.827,88.392,0.909,0.870,243.875,0.968,0.951,262.419
Partición 3 - 2,0.885,0.798,88.437,0.922,0.804,243.828,0.972,0.968,260.680
Partición 4 - 1,0.933,0.817,88.530,0.900,0.843,243.660,0.965,0.954,262.457
Partición 4 - 2,0.875,0.808,88.431,0.909,0.839,243.722,0.982,0.954,260.715
Partición 5 - 1,0.904,0.827,88.440,0.922,0.848,243.866,0.965,0.954,262.351
Partición 5 - 2,0.913,0.798,88.521,0.909,0.839,243.889,0.975,0.944,260.736
Media,0.899,0.817,88.442,0.909,0.832,243.795,0.972,0.953,261.530

0.867197717786

LocalSearchAlgorithm
Partición 1 - 1,0.923,0.846,5.694,0.926,0.843,23.873,0.968,0.961,10.321
Partición 1 - 2,0.962,0.837,7.402,0.926,0.857,26.677,0.968,0.954,9.979
Partición 2 - 1,0.885,0.875,9.630,0.943,0.874,25.092,0.968,0.958,10.285
Partición 2 - 2,0.952,0.817,5.226,0.948,0.809,47.605,0.965,0.947,10.193
Partición 3 - 1,0.923,0.817,5.005,0.935,0.817,31.122,0.982,0.958,10.643
Partición 3 - 2,0.904,0.865,5.259,0.952,0.857,22.151,0.958,0.954,16.479
Partición 4 - 1,0.952,0.817,8.329,0.961,0.887,39.338,0.965,0.923,13.713
Partición 4 - 2,0.913,0.817,5.254,0.965,0.843,37.592,0.982,0.947,14.415
Partición 5 - 1,0.865,0.856,5.849,0.957,0.822,45.636,0.968,0.944,9.456
Partición 5 - 2,0.913,0.856,10.353,0.926,0.843,29.040,0.972,0.961,10.021
Media,0.919,0.840,6.800,0.944,0.845,32.813,0.970,0.951,11.550

0.878796336469

BLXEGeneticAlgorithm
Partición 1 - 1,0.933,0.731,66.132,0.922,0.783,220.766,0.989,0.954,239.505
Partición 1 - 2,0.894,0.846,66.122,0.939,0.848,220.834,0.975,0.961,238.059
Partición 2 - 1,0.942,0.885,66.243,0.904,0.857,220.765,0.965,0.940,239.533
Partición 2 - 2,0.856,0.885,66.231,0.952,0.822,220.685,0.979,0.972,238.093
Partición 3 - 1,0.904,0.817,66.224,0.965,0.830,220.638,0.975,0.937,239.575
Partición 3 - 2,0.933,0.846,66.140,0.909,0.813,220.597,0.972,0.965,238.148
Partición 4 - 1,0.952,0.827,66.250,0.939,0.796,220.755,0.979,0.944,239.482
Partición 4 - 2,0.923,0.837,66.201,0.930,0.822,220.760,0.968,0.961,238.115
Partición 5 - 1,0.875,0.817,66.267,0.939,0.843,220.691,0.979,0.961,239.563
Partición 5 - 2,0.952,0.846,66.213,0.913,0.883,220.558,0.975,0.958,238.089
Media,0.916,0.834,66.202,0.931,0.830,220.705,0.976,0.955,238.816

0.872854999602

ReliefAlgorithm,0.861,0.842,0.011,0.873,0.853,0.033,0.946,0.957,0.031
ACEGeneticAlgorithm,0.891,0.833,65.500,0.912,0.833,220.931,0.972,0.953,214.017
BLXSGeneticAlgorithm,0.926,0.813,90.048,0.929,0.845,245.451,0.977,0.956,262.821
ACSGeneticAlgorithm,0.899,0.817,88.442,0.909,0.832,243.795,0.972,0.953,261.530
LocalSearchAlgorithm,0.919,0.840,6.800,0.944,0.845,32.813,0.970,0.951,11.550
BLXEGeneticAlgorithm,0.916,0.834,66.202,0.931,0.830,220.705,0.976,0.955,238.816
