MemeticAlgorithmA
Partición 1 - 1,0.990,0.856,57.583,0.957,0.878,210.670,0.986,0.944,202.246
Partición 1 - 2,0.913,0.856,57.445,0.948,0.826,210.397,0.979,0.954,200.920
Partición 2 - 1,0.933,0.846,57.314,0.935,0.861,210.538,0.989,0.947,202.296
Partición 2 - 2,0.904,0.788,57.340,0.922,0.870,210.414,0.982,0.954,200.980
Partición 3 - 1,0.962,0.885,57.410,0.961,0.848,210.412,0.979,0.954,202.332
Partición 3 - 2,0.904,0.827,57.300,0.952,0.826,210.314,0.982,0.954,200.899
Partición 4 - 1,0.962,0.788,57.363,0.943,0.830,210.388,0.989,0.944,202.287
Partición 4 - 2,0.942,0.827,57.383,0.917,0.852,210.391,0.975,0.954,200.985
Partición 5 - 1,0.942,0.846,57.460,0.957,0.835,210.370,0.993,0.965,202.252
Partición 5 - 2,0.933,0.827,57.417,0.939,0.891,210.259,0.965,0.951,201.020
Media,0.938,0.835,57.401,0.943,0.852,210.415,0.982,0.952,201.622

0.87951624433

MemeticAlgorithmB
Partición 1 - 1,0.933,0.865,58.784,0.939,0.822,206.723,0.989,0.961,199.577
Partición 1 - 2,0.923,0.846,58.806,0.948,0.865,206.894,0.968,0.961,198.348
Partición 2 - 1,0.952,0.817,58.825,0.965,0.783,206.820,0.982,0.958,199.518
Partición 2 - 2,0.923,0.798,58.782,0.961,0.857,206.739,0.972,0.961,198.380
Partición 3 - 1,0.933,0.788,58.785,0.943,0.861,206.826,0.975,0.951,199.627
Partición 3 - 2,0.913,0.865,58.763,0.952,0.883,206.809,0.979,0.965,198.200
Partición 4 - 1,0.923,0.837,58.818,0.952,0.857,206.837,0.979,0.958,199.748
Partición 4 - 2,0.923,0.769,58.837,0.922,0.839,206.752,0.979,0.947,198.242
Partición 5 - 1,0.923,0.894,58.765,0.957,0.852,206.754,0.986,0.951,199.595
Partición 5 - 2,0.971,0.808,58.788,0.943,0.791,206.773,0.972,0.982,198.258
Media,0.932,0.829,58.795,0.948,0.841,206.793,0.978,0.960,198.949

0.876429002146

MemeticAlgorithmC
Partición 1 - 1,0.952,0.798,59.027,0.935,0.870,207.276,0.975,0.954,199.514
Partición 1 - 2,0.942,0.885,58.977,0.943,0.843,207.128,0.986,0.958,198.318
Partición 2 - 1,0.962,0.779,59.038,0.930,0.835,207.300,0.965,0.954,199.427
Partición 2 - 2,0.933,0.798,59.023,0.952,0.778,207.230,0.986,0.933,198.364
Partición 3 - 1,0.952,0.788,58.998,0.965,0.839,207.322,0.993,0.958,199.558
Partición 3 - 2,0.894,0.904,59.065,0.926,0.891,207.262,0.968,0.958,198.369
Partición 4 - 1,0.875,0.846,58.964,0.943,0.843,207.291,0.972,0.954,199.574
Partición 4 - 2,0.875,0.846,59.086,0.913,0.791,207.246,0.975,0.916,198.302
Partición 5 - 1,0.933,0.817,58.973,0.943,0.826,207.308,0.982,0.951,199.567
Partición 5 - 2,0.933,0.817,59.742,0.896,0.822,207.210,0.972,0.958,198.276
Media,0.925,0.828,59.089,0.935,0.834,207.257,0.978,0.949,198.927

0.870397012225

MemeticAlgorithmA,0.938,0.835,57.401,0.943,0.852,210.415,0.982,0.952,201.622
MemeticAlgorithmB,0.932,0.829,58.795,0.948,0.841,206.793,0.978,0.960,198.949
MemeticAlgorithmC,0.925,0.828,59.089,0.935,0.834,207.257,0.978,0.949,198.927
